ILMN_1753370 ILMN_1735591 ILMN_1776936 ILMN_1669928 ILMN_1697905 ILMN_1699727 ILMN_1760246 ILMN_1653836 ILMN_1775121 ILMN_1675632 ILMN_1743219 ILMN_1795561 ILMN_1751561 ILMN_1791270 ILMN_1779241 ILMN_1690179 ILMN_1668652 ILMN_1676728 ILMN_1654289 ILMN_1697268 ILMN_1719468 ILMN_1729217 ILMN_1728517 ILMN_1789627 ILMN_1679746 ILMN_1716869 ILMN_1717381 ILMN_1776516 ILMN_1789505 ILMN_1682572 ILMN_1770479 ILMN_1753269 ILMN_1798663 ILMN_1763228 ILMN_1809636 ILMN_1785141 ILMN_1786310 ILMN_1733627 ILMN_1814221 ILMN_1729879 ILMN_1810100 ILMN_1784110 ILMN_1739812 ILMN_1717477 ILMN_1815522 ILMN_1753278 ILMN_1707265 ILMN_1695271 ILMN_1737484 ILMN_1795839 ILMN_1720513 ILMN_1780222 ILMN_1714445 ILMN_1698846 ILMN_1782259 ILMN_1791371 ILMN_1733860 ILMN_1683470 ILMN_1681234 ILMN_1683263 ILMN_1712913 ILMN_1784283
cg00005847 0.514369 0.616841 0.711235 0.638822 0.570693 0.532009 0.598425 0.59339 0.23649 0.608135 0.64163 0.587154 0.597142 0.605269 0.650118 0.551093 0.64981 0.614025 0.560519 0.580873 0.281046 0.497553 0.585691 0.597317 0.57403 0.648028 0.547156 0.542458 0.593219 0.147817 0.576435 0.613516 0.739045 0.633204 0.520447 0.603948 0.589684 0.57363 0.644872 0.62781 0.544199 0.559399 0.565837 0.524595 0.626205 0.654681 0.629437 0.53923 0.532538 0.441208 0.48968 0.608118 0.586643 0.65723 0.578316 0.620981 0.604315 0.619732 0.574723 0.648711 0.599164 0.639083
cg00213714 0.397059 0.498413 0.576156 0.522637 0.449598 0.426705 0.496386 0.452072 0.343434 0.522301 0.518128 0.464664 0.466973 0.47872 0.557588 0.501153 0.512778 0.477685 0.483355 0.509069 0.24593 0.401228 0.466857 0.509065 0.471873 0.517364 0.440417 0.445102 0.51855 0.270181 0.476277 0.481629 0.609502 0.533601 0.528469 0.595548 0.48982 0.480591 0.5588 0.494992 0.461227 0.501886 0.434916 0.548789 0.536403 0.541692 0.543354 0.561357 0.52342 0.50975 0.51318 0.488721 0.509499 0.593536 0.511474 0.529676 0.497011 0.50437 0.452105 0.560661 0.467248 0.545732
cg00245878 0.489357 0.47721 0.502781 0.476049 0.581067 0.535988 0.500408 0.586797 0.075055 0.43237 0.516578 0.534522 0.554491 0.421017 0.465268 0.364463 0.554846 0.464346 0.379462 0.396113 0.165315 0.550521 0.535248 0.436385 0.451015 0.461024 0.397069 0.600131 0.419683 0.041018 0.58341 0.469424 0.545936 0.452165 0.329402 0.402079 0.392294 0.415588 0.447821 0.451471 0.534501 0.368152 0.533804 0.325608 0.446445 0.495563 0.501168 0.307246 0.36423 0.244909 0.279779 0.438117 0.44045 0.447871 0.385794 0.579262 0.403907 0.463875 0.445618 0.43782 0.525046 0.457248
cg00498604 0.396852 0.495869 0.584764 0.510144 0.427843 0.404427 0.482384 0.437898 0.328009 0.520169 0.506419 0.457796 0.460329 0.460613 0.538486 0.476118 0.498336 0.477306 0.516373 0.493058 0.25083 0.379784 0.457544 0.467346 0.478579 0.50174 0.485868 0.41546 0.525241 0.249004 0.436638 0.490199 0.579463 0.515982 0.527937 0.570738 0.470113 0.502465 0.559887 0.489178 0.417812 0.499211 0.431623 0.53255 0.555021 0.529679 0.486158 0.526666 0.477013 0.474863 0.480828 0.504272 0.511636 0.581627 0.499282 0.486473 0.499149 0.516734 0.456946 0.5184 0.458026 0.549881
cg00504595 0.422421 0.517368 0.613739 0.5444 0.461273 0.437308 0.499466 0.472516 0.324651 0.533881 0.537102 0.489124 0.496618 0.513041 0.581427 0.52208 0.535859 0.517067 0.478753 0.517485 0.27419 0.400823 0.479804 0.499709 0.506044 0.533949 0.4729 0.446366 0.553437 0.245082 0.476394 0.517432 0.628791 0.537534 0.523322 0.608377 0.528169 0.506048 0.565034 0.535208 0.452356 0.517345 0.454854 0.551227 0.564327 0.55852 0.525495 0.508956 0.503213 0.492809 0.510642 0.524648 0.53139 0.594705 0.543671 0.522806 0.517509 0.546168 0.465959 0.555515 0.491664 0.566074
cg00767581 0.533192 0.642798 0.736955 0.661063 0.590318 0.558066 0.642668 0.610756 0.271558 0.643608 0.668788 0.615816 0.624081 0.641889 0.682353 0.579302 0.675891 0.646254 0.594103 0.627132 0.286865 0.519838 0.600392 0.628598 0.597329 0.681089 0.57165 0.559676 0.625131 0.184996 0.591807 0.637703 0.766373 0.673936 0.556455 0.658084 0.605286 0.616689 0.679714 0.660552 0.565248 0.57622 0.589819 0.567939 0.662645 0.691225 0.655061 0.581809 0.586648 0.48375 0.534359 0.643316 0.613201 0.705102 0.619245 0.654633 0.630766 0.642732 0.612951 0.681574 0.631855 0.673265
cg01152019 0.5477 0.657553 0.753761 0.673821 0.605942 0.57243 0.652496 0.625453 0.281411 0.662866 0.677156 0.630719 0.640874 0.643373 0.689338 0.581564 0.687472 0.658288 0.617517 0.632551 0.311285 0.531532 0.62392 0.635853 0.611402 0.684014 0.603945 0.577538 0.642256 0.196129 0.60807 0.653625 0.777453 0.681655 0.575512 0.667089 0.612281 0.629847 0.700778 0.672701 0.583634 0.600899 0.603854 0.574666 0.683231 0.702229 0.657931 0.582949 0.579161 0.495151 0.542547 0.664689 0.636468 0.710909 0.627708 0.664801 0.645566 0.664183 0.617775 0.687968 0.642018 0.699205
cg01275830 0.606412 0.571136 0.614712 0.553862 0.650884 0.594998 0.585417 0.656645 0.155364 0.50982 0.610819 0.615828 0.660541 0.487046 0.575605 0.462549 0.635756 0.524885 0.460399 0.483639 0.227575 0.593819 0.617239 0.495741 0.541589 0.548193 0.487598 0.683281 0.52606 0.083678 0.647703 0.554991 0.649445 0.53276 0.41631 0.512503 0.476065 0.495175 0.557002 0.518798 0.620922 0.456854 0.596362 0.426742 0.559936 0.588374 0.599042 0.40517 0.440183 0.338503 0.374927 0.505884 0.541573 0.547553 0.465118 0.674675 0.482936 0.553104 0.506602 0.514682 0.61881 0.5436
cg01684901 0.414289 0.500431 0.604525 0.516865 0.437368 0.419424 0.503164 0.448765 0.335224 0.540388 0.519211 0.47317 0.480736 0.483864 0.544311 0.469624 0.51909 0.490249 0.522796 0.519381 0.297789 0.388615 0.476709 0.470739 0.511917 0.533745 0.493271 0.42207 0.557343 0.306816 0.44571 0.509012 0.599585 0.521002 0.527151 0.573472 0.481386 0.526331 0.588267 0.50268 0.438189 0.516972 0.441531 0.535617 0.587786 0.540419 0.504778 0.557397 0.46421 0.530746 0.523352 0.52731 0.543898 0.588334 0.515283 0.50646 0.514304 0.537123 0.463586 0.512001 0.477887 0.565213
cg02245378 0.505526 0.639663 0.707175 0.638401 0.552899 0.539413 0.62711 0.558612 0.230758 0.611927 0.67548 0.586929 0.588569 0.592469 0.68079 0.57578 0.64543 0.619084 0.574003 0.597091 0.266479 0.492929 0.571573 0.625178 0.583059 0.651098 0.534889 0.528909 0.600994 0.139139 0.57217 0.60834 0.752295 0.653603 0.556528 0.632908 0.59491 0.586531 0.648564 0.619404 0.546576 0.555125 0.550872 0.545957 0.63387 0.667138 0.653226 0.517154 0.58955 0.436619 0.482975 0.593199 0.60138 0.669999 0.578093 0.63614 0.575582 0.618035 0.59586 0.656882 0.594699 0.643907
