ILMN_1753370 ILMN_1735591 ILMN_1776936 ILMN_1669928 ILMN_1697905 ILMN_1699727 ILMN_1760246 ILMN_1653836 ILMN_1775121 ILMN_1675632 ILMN_1743219 ILMN_1795561 ILMN_1751561 ILMN_1791270 ILMN_1779241 ILMN_1690179 ILMN_1668652 ILMN_1676728 ILMN_1654289 ILMN_1697268 ILMN_1719468 ILMN_1729217 ILMN_1728517 ILMN_1789627 ILMN_1679746 ILMN_1716869 ILMN_1717381 ILMN_1776516 ILMN_1789505 ILMN_1682572 ILMN_1770479 ILMN_1753269 ILMN_1798663 ILMN_1763228 ILMN_1809636 ILMN_1785141 ILMN_1786310 ILMN_1733627 ILMN_1814221 ILMN_1729879 ILMN_1810100 ILMN_1784110 ILMN_1739812 ILMN_1717477 ILMN_1815522 ILMN_1753278 ILMN_1707265 ILMN_1695271 ILMN_1737484 ILMN_1795839 ILMN_1720513 ILMN_1780222 ILMN_1714445 ILMN_1698846 ILMN_1782259 ILMN_1791371 ILMN_1733860 ILMN_1683470 ILMN_1681234 ILMN_1683263 ILMN_1712913 ILMN_1784283
cg00005847 3 5 2 3 5 4 5 5 4 2 5 4 5 5 5 4 5 5 5 2 3 4 2 5 2 5 3 4 5 4 4 2 2 5 3 4 2 5 5 5 2 3 5 4 5 5 2 2 4 2 5 5 2 5 5 5 6 2 5 2 5 2
cg00213714 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 0 4 2 5 2 5 2 4 5 4 5 2 2 5 3 5 2 5 5 5 2 3 5 5 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg00245878 5 3 4 5 3 2 3 2 0 4 3 2 2 3 3 0 3 3 3 4 0 2 4 3 4 3 4 2 3 0 2 4 4 3 4 3 4 3 3 3 5 0 3 3 3 3 4 4 3 4 3 3 5 3 3 3 3 4 3 4 2 4
cg00498604 0 6 1 1 6 6 6 6 4 1 6 6 6 6 6 0 6 6 6 1 0 6 1 6 1 6 1 0 6 4 6 1 1 6 1 6 1 6 6 6 1 1 6 6 6 6 1 1 6 1 6 6 1 6 6 6 6 1 6 1 6 1
cg00504595 3 5 2 2 6 5 5 5 4 1 5 5 5 5 6 4 5 6 5 2 3 4 1 5 1 5 2 4 5 4 5 2 2 5 2 5 2 5 6 6 2 2 5 5 5 5 2 2 6 2 6 6 2 6 5 5 6 1 6 2 5 1
cg00767581 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 3 4 5 4 4 2 2 5 3 5 2 5 5 5 2 3 5 4 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg01152019 3 5 2 2 5 4 5 5 4 2 5 4 5 5 5 4 5 5 5 2 3 4 2 5 2 5 3 4 5 4 4 2 2 5 3 4 2 5 5 5 2 3 5 4 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg01275830 2 6 2 2 6 5 5 5 0 1 5 5 5 6 6 0 6 6 5 2 0 5 1 6 1 6 1 5 6 0 5 2 1 5 2 6 1 6 6 6 2 2 5 5 5 6 2 2 6 2 6 6 2 6 6 5 6 1 6 2 5 1
cg01684901 0 6 1 1 6 6 6 6 4 1 6 5 6 6 6 0 6 6 6 1 0 6 1 6 1 6 1 0 6 4 6 2 1 6 2 6 1 6 6 6 1 2 6 6 6 6 1 2 6 2 6 6 2 6 6 6 6 1 6 1 6 1
cg02245378 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 2 4 5 4 5 2 2 5 3 5 2 5 5 5 2 2 5 5 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg02250787 3 5 2 2 5 5 5 5 4 1 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 2 4 5 4 5 2 2 5 3 5 2 5 5 5 2 2 5 5 5 5 2 2 6 2 6 6 2 5 5 5 6 2 5 2 5 2
cg02310296 0 3 4 4 3 3 3 3 1 4 3 3 3 3 3 0 3 3 3 4 0 0 4 3 4 3 4 0 3 1 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg02738086 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 6 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg03218909 0 3 4 4 3 3 3 3 2 4 3 3 3 3 3 3 3 3 3 4 4 0 4 3 4 3 4 0 3 2 3 4 4 3 4 3 4 3 3 3 4 4 3 3 3 3 4 4 3 4 3 3 4 3 3 3 3 4 3 4 3 4
cg03460682 6 2 5 5 3 2 2 2 1 4 2 2 2 2 2 1 2 3 2 5 6 2 4 2 4 2 5 1 2 1 2 5 5 2 5 2 5 2 3 3 5 5 2 2 2 2 5 5 3 5 3 3 5 2 2 2 3 5 3 5 2 5
cg03528946 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 6 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg04256470 3 5 2 2 5 5 5 5 4 2 5 5 5 5 5 4 5 5 5 2 3 4 2 5 2 5 2 4 5 4 5 2 2 5 3 5 2 5 5 5 2 3 5 4 5 5 2 2 5 2 5 5 2 5 5 5 6 2 5 2 5 2
cg04451770 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 6 2 1 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg05010623 6 3 5 5 3 2 2 2 1 4 2 2 2 2 3 0 2 3 2 5 6 1 4 3 4 2 5 1 3 1 2 5 5 2 6 2 5 2 3 3 5 6 2 1 2 2 5 5 3 5 3 3 5 3 2 2 3 4 3 5 2 5
cg05316065 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 2 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 5 2 2 2 2 5 5 2 5 2 2 5 2 2 2 3 5 2 5 2 5
cg05322019 6 2 5 5 2 2 2 2 1 5 2 2 2 2 2 1 2 2 2 5 6 1 5 2 5 2 5 1 2 1 2 5 5 2 6 2 5 2 2 2 5 6 2 1 2 2 5 5 3 5 2 2 5 2 2 2 3 5 2 5 2 5
cg05516537 0 6 1 1 6 6 6 6 4 1 6 6 6 6 6 6 6 6 6 1 0 0 1 6 1 6 1 0 6 4 6 1 1 6 1 6 1 6 6 6 1 1 6 6 6 6 1 1 6 1 6 6 1 6 6 6 6 1 6 1 6 1
cg05697249 5 3 5 5 3 2 2 2 1 4 2 2 2 2 3 0 2 3 2 5 6 2 4 3 4 2 5 1 3 1 2 5 5 2 5 2 5 2 3 3 5 5 2 2 2 2 5 5 3 5 3 3 5 3 3 2 3 4 3 5 2 5
